# E_rel [GeV] (sim)	dN/dE_rel (sim), T=160 MeV	dN/dE_rel (sim), T=180 MeV	dN/dE_rel (sim), T=200 MeV	dN/dE_rel (sim), T=250 MeV	E_rel [GeV] (analytical)	dN/dE_rel_analytical, T= 160 MeV (has to be normalised)	dN/dE_rel_analytical, T= 180 MeV (has to be normalised)	dN/dE_rel_analytical, T= 200 MeV (has to be normalised)	dN/dE_rel_analytical, T= 250 MeV (has to be normalised)
0.6400000000000012	0.25343866874999976	0.3348983530701755	0.41055329791666684	0.5565628916666665	0.15000000000000013	602419.0421414325	668462.7260279389	726473.8111120448	843902.4172706367
0.6800000000000013	0.2064166354166666	0.27911234429824555	0.34854878541666684	0.48986152708333364	0.17500000000000004	556513.7975061563	628351.040001256	692442.0494441071	824750.6304296191
0.7200000000000013	0.16578930625000007	0.2324430767543858	0.29682573333333345	0.4351280166666671	0.20000000000000018	508844.039749168	584597.7817553624	653243.2657540956	797772.0934489066
0.7600000000000013	0.13366613125000004	0.19231216008771937	0.25127099583333357	0.38342304583333264	0.2250000000000001	461614.8845150831	539630.8929928616	611435.2231948029	765627.4230214681
0.8000000000000014	0.10814342979166666	0.1594392785087717	0.21326761666666674	0.33666639166666656	0.25	416180.48898193776	495042.45904662635	568762.6978685313	730230.80629078
0.8400000000000014	0.08636026895833333	0.1319945657894737	0.18004418125000024	0.29726963333333345	0.27500000000000013	373339.9001988958	451864.4715535456	526418.7022010856	692981.4135469721
0.8800000000000014	0.06966713458333333	0.10904989912280681	0.15219846875000004	0.2623024375	0.30000000000000004	333524.2757760739	410746.4135468689	485211.33412367984	654910.2691292661
0.9200000000000015	0.056302212916666684	0.0895717934210525	0.12848648979166674	0.22962917708333352	0.3250000000000002	296919.78754895244	372072.53545268887	445675.2232743172	616778.8270682974
0.9600000000000015	0.04557145645833337	0.07430457500000004	0.10820782562500002	0.20073683541666645	0.3500000000000001	263550.3566500594	336042.26764912286	408148.7349955292	579147.2177320005
1.0000000000000016	0.036357684166666696	0.061115397807017594	0.09109391958333339	0.1763928395833334	375	233334.27865061336	302726.4819489833	372827.6815983406	542423.3804487992
1.0400000000000016	0.029080162708333322	0.05060052214912279	0.07771288750000002	0.1544237708333333	0.40000000000000013	206123.35986770454	272107.45714791643	339806.1727609757	506898.16723462066
1.0800000000000016	0.02338470479166669	0.04158521951754387	0.06519534229166662	0.1356670874999999	0.42500000000000004	181730.07356021146	244107.62345793212	309104.3014021932	472773.9495852793
1.1200000000000017	0.018745269833333335	0.03430390285087719	0.054726453124999935	0.11856165833333333	0.4500000000000002	159946.37303745057	218609.97444301232	280689.7213001029	440183.52219067235
1.1600000000000017	0.014616247458333322	0.028004024561403502	0.04546491374999997	0.10405048999999998	0.4750000000000001	140556.6261576992	195473.46697303414	254493.70400313858	409206.9273747216
1.2000000000000017	0.011812797416666656	0.023309280263157883	0.038519126458333365	0.09131291979166661	0.5	123346.37610228533	174543.5065441815	230422.86620251814	379882.94713956414
1.2400000000000018	0.0095184713125	0.01902437763157893	0.032495385833333355	0.07935159208333335	0.5249999999999999	108108.12671783043	155659.7629060389	208367.9063017491	352219.60332378396
1.2800000000000018	0.0077827499583333175	0.015703098771929824	0.027057805833333334	0.06904268249999998	0.5500000000000003	94645.00566618565	138661.65094345843	188210.2958003102	326200.27695568564
1.3200000000000018	0.006080883345833327	0.01275602905701754	0.022693384583333327	0.06024276145833339	0.5750000000000002	82772.91832835323	123392.14306502759	169827.0781501161	301790.803864397
1.3600000000000019	0.004757931345833331	0.010619049078947363	0.019171657062499993	0.052389859999999996	0.6000000000000001	72321.63587543591	109700.34553626148	153094.58373581344	278944.0330691568
1.400000000000002	0.0038672859625000027	0.008525947368421055	0.016088818958333348	0.04564281041666669	625	63135.139576910915	97443.30290476957	137890.88520041894	257603.00314130736
1.440000000000002	0.0030417408187500034	0.006871474298245605	0.013309425916666678	0.040014902708333334	0.6499999999999999	55071.45571420146	86486.39572188932	124097.69610020924	237704.35584710338
1.480000000000002	0.0023919881729166643	0.005796821285087706	0.010995049583333341	0.03478473687499997	0.6750000000000003	48002.151561082224	76704.75669293244	111601.63264885696	219180.52796175866
1.520000000000002	0.0018776524999999983	0.004568648675438593	0.009459488041666665	0.030266826666666656	0.7000000000000002	41811.61604098423	67982.77082383083	100295.02840077315	201961.6139807177
1.560000000000002	0.001576864899999997	0.003809266695175438	0.007763725270833342	0.02633059562499999	0.7250000000000001	36396.21417575392	60214.128181547756	90076.44656385979	185976.70853599178
1.600000000000002	0.0012200824604166637	0.0031334914649122836	0.006432662204166669	0.022923792708333314	0.75	31663.378976857304	53301.53345061479	80850.88498192238	171155.17696105092
1.6400000000000021	0.0010104406479166633	0.0026112416315789474	0.0053112743125000045	0.019824817458333345	0.7749999999999999	27530.685614083668	47156.29752716513	72529.87688330004	157427.31863151907
1.6800000000000022	0.0007513191354166642	0.0020903621600877192	0.004488141233333341	0.017422359749999988	0.8000000000000003	23924.938812539374	41697.85468906866	65031.40656193718	144725.2556442952
1.7200000000000022	0.0006250159979166652	0.0016352808157894729	0.0037757163500000005	0.01516863485416667	0.8250000000000002	20781.29419122975	36853.23769101263	58279.693230602345	132983.0292560684
1.7600000000000022	0.00048568824999999956	0.001384437447368421	0.0032026545145833374	0.01315218708333332	0.8500000000000001	18042.426770806906	32556.53458247931	52204.98372842829	122137.3975661562
1.8000000000000023	0.0004323030104166665	0.0011596378947368409	0.002597024829166669	0.011538831458333313	875	15657.75441775796	28748.344513628952	46743.23787937235	112127.72325128404
1.8400000000000023	0.000319018560416667	0.0009183917785087703	0.0021932762166666678	0.009828919354166661	0.9000000000000004	13582.720066967664	25375.244810207863	41835.84758876673	102896.4173244873
1.8800000000000023	0.0002682365333333336	0.0007278585285087706	0.0018103678062500023	0.008555982104166682	0.9250000000000003	11778.133777400813	22389.277796681014	37429.19424360985	94388.67121176445
1.9200000000000024	0.0001835986916666668	0.0006332799495614031	0.0015759314645833352	0.007551689666666673	0.9500000000000002	10209.573739135649	19747.463046665875	33474.47806861847	86552.75272368513
1.9600000000000024	0.00016146224791666668	0.0005441815307017547	0.0013323805416666679	0.0065474180833333335	0.9750000000000001	8846.84404508468	17411.338360683778	29927.245051543658	79339.87098486024
					1.	7663.48620236348	15346.531526704734	26747.107224274885	72704.16719216367
					1.0250000000000004	6636.34086177376	13522.363353058809	23897.432627033144	66602.6300448331
					1.0500000000000003	5745.155992977381	11911.481830285811	21345.01860900697	60995.0030633044
					1.0750000000000002	4972.237677235882	10489.526586733027	19059.80876097309	55843.68447179313
					1.1	4302.139692654252	9234.822392973128	17014.65848279121	51113.58819202277
					1.125	3721.3882868324017	8128.100194808044	15185.034552665164	46772.060030481196
					1.1500000000000004	3218.23863640755	7152.243989603169	13548.807766332864	42788.72856958959
					1.1750000000000003	2782.4597691857007	6292.061778070817	12086.032412148692	39135.38704748009
					1.2000000000000002	2405.144946380197	5534.0788022688075	10778.740783518533	35785.87164260116
					1.225	2078.5447504466892	4866.351302709263	9610.769323813001	32715.93100622731
					1.25	1795.9203665913374	4278.299081818551	8567.573504530057	29903.119384165282
					1.2750000000000004	1551.4147804032727	3760.555235958176	7636.083457962294	27326.679644144926
					1.3000000000000003	1339.9398366222185	3304.831507378582	6804.558441160285	24967.424440990228
					1.3250000000000002	1157.077312605435	2903.7978045981645	6062.461403790549	22807.64787271896
					1.35	998.9923534448418	2550.9745406095735	5400.335259871433	20830.98251276251
					1.375	862.3577934970665	2240.636539824443	4809.699373810078	19022.366186769606
					1.4000000000000004	744.2880513818966	1967.7273644743261	4282.954098455592	17367.90893038655
					1.4250000000000003	642.2814329987661	1727.7830076634211	3813.2889910099325	15854.8187644629
					1.4500000000000002	554.1698099528429	1516.8639924362956	3394.6041023514745	14471.321522515127
					1.475	478.07476071953863	1331.495002245998	3021.4401463541944	13206.585597849136
					1.5	412.36936896652617	1168.6112522688336	2688.9113261890584	12050.65145414919
					1.5250000000000004	355.64496928809825	1025.5108820600194	2392.64710645988	10994.365720784654
					1.5500000000000003	306.6822159044142	899.8127246477987	2128.739221914907	10029.319677249609
					1.5750000000000002	264.4259256610909	789.4188685842672	1893.6937215245273	9147.791929196279
					1.6	227.963213837239	692.4814893314459	1684.3888459355956	8342.695048099753
					1.625	196.5045006911357	607.37347993726	1498.0350060872142	7607.5259866100705
					1.6500000000000004	169.3670191417812	532.6624598086042	1332.1409344428753	6936.320039878755
					1.6750000000000003	145.96050023903658	467.0877846883366	1184.4821959574244	6323.60815228355
					1.7000000000000002	125.77475379037489	409.5402210120583	1053.073125498764	5764.377365047066
					1.725	108.36889730312278	359.0439839812061	936.1416401967721	5254.034207720835
					1.75	93.36201782395256	314.7408712559865	832.1066438323223	4788.370843671203
					1.7750000000000004	80.42507881389322	275.8762534485294	739.5577663558835	4363.53378755292
					1.8000000000000003	69.27390836815047	241.78670887210316	657.2372815634368	3975.995315774056
					1.8250000000000002	59.663125998486734	211.8891135482421	584.0235265584238	3622.525606605434
					1.85	51.38088434044024	185.6710185448254	518.9168199297796	3300.1700266820108
					1.875	44.24431714358801	162.6821655506674	461.02608768372164	3006.22521037043
					1.9000000000000004	38.0956001632798	142.52700840441707	409.55728215416093	2738.218531589934
					1.9250000000000003	32.7985431439638	124.85812328817113	363.80297939471416	2493.888906236796
					1.9500000000000002	28.23564204483642	109.37040365286056	323.13290621588067	2271.1697321875054
					1.975	24.305529957265026		286.98581566263755	2068.170180599908
					2.	20.92077329100829	83.89956889281285	254.86188207185725	1883.1640673765155
