#time[fm]	N_ccbar=1	N_ccbar=2	N_ccbar=5	N_ccbar=10
3.51759	0.0007183226495726	0.0013986032196969	0.0034253333333333	0.0067938088768115
7.03518	0.0009471688034188	0.0017989820075757	0.0043507916666666	0.0086198324275362
10.55277	0.0011578525641025	0.0021735558712121	0.0051894375	0.0102392844202898
14.07036	0.0013584401709401	0.0024957149621212	0.0059397708333333	0.0116788813405797
17.58795	0.0015384615384615	0.0028062026515151	0.0065991875	0.0129267210144927
21.10554	0.0017040331196581	0.003078574810606	0.0072048125	0.0140197463768115
24.62313	0.0018613782051282	0.003336221590909	0.00771325	0.014987884963768
28.140719999999995	0.0020015491452991	0.0035508049242424	0.0081757291666666	0.0158274637681159
31.658309999999997	0.0021326121794871	0.0037493134469696	0.0085895625	0.0165742391304347
35.17589999999999	0.0022557158119658	0.0039242424242424	0.0089535833333333	0.0172311775362318
38.69348999999999	0.002360016025641	0.0040996212121212	0.0092548333333333	0.0178079574275362
42.21107999999999	0.0024599626068376	0.0042398674242424	0.009537375	0.0183020380434782
45.72866999999999	0.0025681891025641	0.0043757575757575	0.0097861041666666	0.0187562817028985
49.24625999999999	0.0026580128205128	0.0045036695075757	0.0100357916666666	0.0191459239130434
52.763849999999984	0.0027434027777777	0.0046194602272727	0.0102262499999999	0.0195027853260869
56.28143999999998	0.0028185096153846	0.0047192945075757	0.0104064583333333	0.0198145969202898
59.79902999999998	0.0028882478632478	0.0048189867424242	0.0105731874999999	0.0200889130434782
63.31661999999998	0.0029551816239316	0.0049040009469696	0.0107130416666666	0.0203255117753623
66.83420999999998	0.0030176816239316	0.0049791429924242	0.0108489166666666	0.0205428713768115
70.35179999999998	0.0030700854700854	0.0050569365530303	0.0109572083333333	0.0207352355072463
73.86938999999998	0.0031306356837606	0.005122324810606	0.0110425	0.0209046422101449
77.38697999999998	0.0031672542735042	0.0051778409090909	0.0111484166666666	0.021045375905797
80.90456999999998	0.0032095886752136	0.0052302320075757	0.0112300208333333	0.0211896693840579
84.42215999999998	0.0032538728632478	0.0052767045454545	0.0113133125	0.0213014628623188
87.93974999999998	0.0032809829059829	0.0053299479166666	0.0113763541666666	0.0213986911231884
91.45733999999996	0.0033093482905982	0.0053734611742424	0.0114472499999999	0.0215021105072463
94.97492999999996	0.0033488247863247	0.0054061079545454	0.0114976666666666	0.0215894836956521
98.49251999999996	0.003372142094017	0.0054485321969696	0.0115626874999999	0.0216705978260869
102.01010999999995	0.0034048076923076	0.0054813210227272	0.0116038749999999	0.0217388269927536
105.52769999999995	0.0034299946581196	0.0055123579545454	0.0116397708333333	0.0217949456521739
109.04528999999997	0.0034520299145299	0.0055437973484848	0.0116636666666666	0.0218540217391304
112.56287999999996	0.0034604967948717	0.0055719223484848	0.0117013958333333	0.0219010597826087
116.08046999999996	0.0034814102564102	0.0055940814393939	0.0117320833333333	0.0219427943840579
119.59805999999996	0.003513969017094	0.0056024621212121	0.0117380416666666	0.0219845244565217
123.11564999999996	0.0035258012820512	0.0056234611742424	0.0117688749999999	0.0220192028985507
126.63323999999996	0.0035451923076923	0.0056242660984848	0.0117909791666666	0.0220488541666666
130.15082999999996	0.0035696581196581	0.0056477035984848	0.0117907083333333	0.0220799365942029
133.66841999999997	0.0035803685897435	0.0056586410984848	0.011815	0.0221072644927536
137.18600999999998	0.0035909455128205	0.0056794507575757	0.0118432291666666	0.0221303894927536
140.7036	0.0036067574786324	0.0056892755681818	0.0118490208333333	0.0221548731884057
