r (fm)	V(T=350 MeV)	V(T=250 MeV)	V(T=200 MeV)	V(T=160 MeV)
0.01	-0.7605991275554613	-0.9865561382588441	-1.1796264035102693	-1.4283188344625102
0.02404040404040404	-0.7498686039937881	-0.9732119755721624	-1.1640503646814624	-1.4098463916295123
0.038080808080808076	-0.73062296415379	-0.9492742449517515	-1.1361063966173681	-1.3767038647822838
0.05212121212121212	-0.7034379795616685	-0.9154514713088815	-1.0966172304561301	-1.3298630616336704
0.06616161616161616	-0.6691181159437011	-0.8727337596574339	-1.0467326487229633	-1.2706821744730743
0.08020202020202019	-0.6286633992956517	-0.8223521817707837	-0.9878824112040123	-1.2008502504070633
0.09424242424242422	-0.5832286461153934	-0.7657287965859063	-0.921718321082698	-1.1223188482312494
0.10828282828282827	-0.5340770295263491	-0.7044197164743305	-0.8500482247476533	-1.0372241750442666
0.1223232323232323	-0.4825302051218039	-0.6400539402430842	-0.774765096398554	-0.9478034175650708
0.13636363636363635	-0.42991735409880927	-0.5742708378354381	-0.6977745488770868	-0.8563092076707861
0.1504040404040404	-0.37752551072736895	-0.5086591839460795	-0.6209241266629489	-0.7649261790602176
0.16444444444444445	-0.326553427561006	-0.4447004995233087	-0.545937577278432	-0.6756933840187399
0.17848484848484847	-0.2780710030899899	-0.38371918121112414	-0.4743569747790759	-0.5904359593641805
0.19252525252525252	-0.23298596718008296	-0.3268414967644897	-0.4074951039015769	-0.510708882734243
0.20656565656565656	-0.19201910948167508	-0.2749650235787821	-0.3463999338195137	-0.4377549774472529
0.22060606060606058	-0.1556888691025198	-0.22873953708511077	-0.2918323503080505	-0.3724785462666591
0.23464646464646463	-0.12430560702531626	-0.18855974861369654	-0.2442576123192748	-0.31543518615264615
0.24868686868686868	-0.09797538397249539	-0.15456968255510478	-0.2038502930230351	-0.26683750403501993
0.2627272727272727	-0.0766125931190681	-0.12667790377797172	-0.17051179507202627	-0.2265756635072638
0.2767676767676768	-0.05996037457407292	-0.10458228926068076	-0.14389893105012963	-0.19425098636480678
0.2908080808080808	-0.047617388699145044	-0.0878026094226588	-0.12346156362348476	-0.1692202474678609
0.3048484848484848	-0.03906926518262217	-0.07571886558654267	-0.10848693002459107	-0.15064786501820845
0.3188888888888889	-0.03372288579162537	-0.06761313439678163	-0.0981480484206341	-0.13756292017700372
0.3329292929292929	-0.030941606182616883	-0.06271260438780384	-0.0915535270245783	-0.12891784896575662
0.34696969696969693	-0.03007957506256611	-0.06023155307040363	-0.08779616918141803	-0.12364573405370269
0.361010101010101	-0.030513460292693473	-0.059410196318394747	-0.08599797921450689	-0.12071337271603876
0.375050505050505	-0.03167012868112702	-0.05954863023937261	-0.08534950693048975	-0.11916768921522829
0.38909090909090904	-0.03304913212977248	-0.060034458285851106	-0.08514189929271389	-0.11817356678169735
0.4031313131313131	-0.034239207002374025	-0.06036312813867075	-0.08479052701333047	-0.11704176225563284
0.41717171717171714	-0.034928373528922085	-0.06015046638736002	-0.08384958989530202	-0.1152461978592177
0.43121212121212116	-0.03490760458952482	-0.05913736597387246	-0.0820176449778209	-0.1124305609808011
0.44525252525252523	-0.034068395950450886	-0.05718702443790145	-0.07913451429431341	-0.10840474703192071
0.45929292929292925	-0.032394892692667245	-0.054275525452465195	-0.07517048569724336	-0.10313221863342224
0.4733333333333333	-0.02995149218228977	-0.050476881191484906	-0.07020909668683453	-0.09670979825178487
0.48737373737373735	-0.026867039665731396	-0.04594389304029133	-0.06442506933291481	-0.08934173952024863
0.5014141414141413	-0.02331685041353337	-0.04088633320944539	-0.05805913279539204	-0.08131012138461426
0.5154545454545454	-0.019503829371090433	-0.03554799632615023	-0.05139152441716718	-0.07294367392431443
0.5294949494949495	-0.015639917659811355	-0.030184120627902024	-0.04471590382816398	-0.06458707865857925
0.5435353535353535	-0.011928981893666507	-0.025040541310846758	-0.03831525657891925	-0.05657260065990467
0.5575757575757575	-0.008552088115152397	-0.020335727234124624	-0.032441119923925135	-0.049195622987659594
0.5716161616161616	-0.005655881424371927	-0.016246583844584522	-0.0272971534780027	-0.04269528933724233
0.5856565656565657	-0.003344541483102092	-0.012898599844433792	-0.023027724666137867	-0.037241045559573666
0.5996969696969696	-0.0016755204900809804	-0.01036059406275071	-0.019711807785482826	-0.03292543381509874
0.6137373737373737	-0.0006590113146186706	-0.0086440033890367	-0.017362130587790365	-0.029763063426564148
