#time[fm]	V=(8fm)^3	V=(10fm)^3	V=(12fm)^3
3.51759 0.0013719531249999984 0.0007183226495726482 0.00041649999999999966
7.03518 0.0018102604166666686 0.0009471688034188039 0.0005515416666666664
10.55277 0.002217057291666666 0.0011578525641025642 0.0006832916666666641
14.07036 0.00259869791666667 0.0013584401709401724 0.0008032499999999999
17.58795 0.002946614583333337 0.0015384615384615398 0.0009035416666666672
21.105539999999998 0.0032700520833333336 0.0017040331196581204 0.001001375
24.623129999999996 0.0035744010416666667 0.0018613782051282053 0.0010895000000000002
28.140719999999995 0.003859114583333336 0.0020015491452991464 0.0011701249999999982
31.658309999999993 0.004116171875000001 0.002132612179487181 0.001241083333333332
35.17589999999999 0.00433486979166666 0.002255715811965813 0.001318291666666666
38.69348999999999 0.004562213541666668 0.0023600160256410283 0.001378291666666666
42.21107999999999 0.004768125000000004 0.002459962606837608 0.001442125
45.72866999999999 0.004948567708333338 0.0025681891025641033 0.001493916666666666
49.246259999999985 0.0051240885416666705 0.0026580128205128226 0.0015453749999999992
52.763849999999984 0.005280156250000004 0.0027434027777777756 0.001591958333333333
56.28143999999998 0.005438854166666663 0.002818509615384611 0.0016423333333333346
59.79902999999998 0.005566380208333338 0.002888247863247863 0.0016896249999999995
63.31661999999998 0.005689973958333327 0.002955181623931621 0.0017223333333333342
66.83420999999998 0.005810208333333336 0.003017681623931622 0.0017587916666666665
70.35179999999998 0.00591950520833333 0.0030700854700854642 0.001789708333333333
73.86938999999998 0.006017343749999991 0.003130635683760682 0.0018183750000000005
77.38697999999998 0.006118151041666666 0.0031672542735042743 0.0018510833333333344
80.90456999999998 0.006190937500000015 0.0032095886752136734 0.0018760416666666695
84.42215999999998 0.0062672395833333425 0.00325387286324786 0.001902041666666669
87.93974999999998 0.006352057291666661 0.003280982905982906 0.0019222500000000016
91.45733999999997 0.006424531250000003 0.003309348290598286 0.0019477916666666665
94.97492999999997 0.006485208333333328 0.0033488247863247803 0.0019704583333333358
98.49251999999997 0.006542161458333343 0.003372142094017091 0.00198175
102.01010999999997 0.0065949218750000005 0.0034048076923076888 0.001996500000000002
105.52769999999997 0.0066326041666666625 0.0034299946581196486 0.002012916666666666
109.04528999999997 0.0066791145833333355 0.003452029914529908 0.0020213749999999993
112.56287999999996 0.00670752604166667 0.0034604967948717947 0.0020285833333333345
116.08046999999996 0.006737760416666672 0.0034814102564102523 0.0020405416666666658
119.59805999999996 0.006773697916666666 0.003513969017094012 0.0020548333333333343
123.11564999999996 0.006800781249999996 0.00352580128205128 0.0020707500000000036
126.63323999999996 0.006828802083333324 0.003545192307692306 0.00207375
