#t[fm] T=180MeV(bound)	T=200MeV(bound)	T=250MeV(bound)	T=180MeV(free)	T=200MeV(free)	T=250MeV(free)
3.51759 0.9731008680555561 0.9342474999999985 0.8207332291666669 0.0007183226495726482 0.0005259320175438587 0.000264049145299145
7.03518 0.9086005208333331 0.8084483333333329 0.5780272916666669 0.0009471688034188039 0.0006715734649122793 0.00029527243589743546
10.55277 0.841996961805555 0.6907591666666676 0.3980203125000002 0.0011578525641025642 0.0007853892543859637 0.0003187500000000002
14.07036 0.778720572916667 0.5884373177083339 0.27314260416666675 0.0013584401709401724 0.0008921600877192972 0.0003300480769230772
17.58795 0.7199398437500002 0.5011168229166664 0.1871917708333334 0.0015384615384615398 0.000977604166666667 0.00033744658119658216
21.105539999999998 0.6652550347222216 0.42653643229166704 0.12803343749999996 0.0017040331196581204 0.001057236842105264 0.00034439102564102646
24.623129999999996 0.6147375 0.36300942708333345 0.08772020833333335 0.0018613782051282053 0.0011243421052631588 0.00035082799145299247
28.140719999999995 0.5681452256944448 0.30900361979166646 0.06011135416666666 0.0020015491452991464 0.0011759868421052622 0.000356223290598292
31.658309999999993 0.5251821180555557 0.2631588802083335 0.041218645833333345 0.002132612179487181 0.0012223958333333338 0.0003544070512820525
35.17589999999999 0.4853084201388885 0.22406036458333295 0.028296354166666673 0.002255715811965813 0.0012626096491228065 0.00035253739316239423
38.69348999999999 0.44853194444444433 0.19078640624999982 0.019481145833333345 0.0023600160256410283 0.0012927905701754386 0.0003517895299145313
42.21107999999999 0.41457213541666643 0.1625113020833332 0.013435937500000003 0.002459962606837608 0.0013324561403508762 0.0003557692307692323
45.72866999999999 0.3832944444444445 0.13858518229166653 0.009315937499999993 0.0025681891025641033 0.0013564144736842104 0.000351095085470087
49.246259999999985 0.3543018229166665 0.11810096354166652 0.006499166666666667 0.0026580128205128226 0.0013728344298245595 0.00035315170940171056
52.763849999999984 0.3275703124999996 0.10067895833333335 0.004604895833333333 0.0027434027777777756 0.0013927357456140334 0.00035638354700854826
56.28143999999998 0.30286762152777785 0.08586158854166669 0.003251145833333336 0.002818509615384611 0.0014032072368421029 0.00035328525641025756
59.79902999999998 0.28011345486111094 0.07330085937499996 0.0023464583333333345 0.002888247863247863 0.0014164473684210503 0.0003548878205128221
63.31661999999998 0.25894314236111104 0.06258192708333331 0.0017209375000000011 0.002955181623931621 0.001424725877192982 0.0003561965811965829
66.83420999999998 0.2393686631944443 0.053467552083333335 0.0013103125000000005 0.003017681623931622 0.0014345394736842076 0.00035849358974359113
70.35179999999998 0.22139722222222213 0.04566734375000003 0.0010127083333333331 0.0030700854700854642 0.0014425986842105246 0.0003577190170940181
