#r_rel[fm]	P(r_rel)_boundstates	P(r_rel)_ges
0.4752 0.107319 0.00460066
0.4776 0.0891297 0.00428265
0.48 0.100044 0.00468547
0.4824 0.0709399 0.00451586
0.4848 0.0563882 0.00417664
0.4872 0.0836728 0.00477027
0.4896 0.0854917 0.00460066
0.492 0.0891297 0.00440985
0.4944 0.0891297 0.00464307
0.4968 0.0763969 0.00502469
0.4992 0.0782158 0.00451586
0.5016 0.0782158 0.00489748
0.504 0.0927676 0.00468547
0.5064 0.067302 0.00445226
0.5088 0.0854917 0.00506709
0.5112 0.0818538 0.00424024
0.5136 0.067302 0.00428265
0.516 0.0636641 0.00443105
0.5184 0.0418364 0.00438865
0.5208 0.067302 0.00455826
0.5232 0.0945866 0.00546991
0.5256 0.0582071 0.00477027
0.528 0.0527502 0.00510949
0.5304 0.0436553 0.00493988
0.5328 0.0618451 0.00470667
0.5352 0.0563882 0.00464307
0.5376 0.067302 0.00493988
0.54 0.0363795 0.00481268
0.5424 0.0472933 0.00485508
0.5448 0.0400174 0.00464307
0.5472 0.0509312 0.00436745
0.5496 0.0545692 0.00434625
0.552 0.0400174 0.00474907
0.5544 0.0472933 0.0052155
0.5568 0.0363795 0.00470667
0.5592 0.0509312 0.00453706
0.5616 0.0418364 0.00430385
0.564 0.0363795 0.00502469
0.5664 0.0309225 0.00474907
0.5688 0.0291036 0.00538511
0.5712 0.0436553 0.00472787
0.5736 0.0272846 0.00502469
0.576 0.0181897 0.00407063
0.5784 0.0291036 0.00426144
0.5808 0.0309225 0.00466427
0.5832 0.0363795 0.0053003
0.5856 0.0218277 0.00485508
0.588 0.0218277 0.00483388
0.5904 0.0254656 0.00468547
0.5928 0.0145518 0.00500349
0.5952 0.0327415 0.00434625
0.5976 0.0381984 0.00496108
0.6 0.0272846 0.00510949
0.6024 0.0163708 0.00513069
0.6048 0.0181897 0.00504589
0.6072 0.0327415 0.00510949
0.6096 0.0218277 0.00513069
0.612 0.0200087 0.0051731
0.6144 0.0200087 0.00504589
0.6168 0.0236466 0.00485508
0.6192 0.0345605 0.00583033
0.6216 0.0309225 0.00583033
0.624 0.0127328 0.0052155
0.6264 0.0145518 0.00546991
0.6288 0.0272846 0.0051519
0.6312 0.0163708 0.00536391
0.6336 0.0181897 0.00572433
0.636 0.0218277 0.00534271
0.6384 0.0363795 0.00498229
0.6408 0.0218277 0.00513069
0.6432 0.0236466 0.00532151
0.6456 0.0145518 0.0052367
0.648 0.0145518 0.00468547
0.6504 0.0127328 0.0052579
0.6528 0.0254656 0.00570313
0.6552 0.0109138 0.00546991
0.6576 0.0254656 0.0052155
0.66 0.0327415 0.00614835
0.6624 0.0218277 0.00555472
0.6648 0.0218277 0.00538511
0.6672 0.0254656 0.00631796
0.6696 0.0145518 0.00623316
0.672 0.0200087 0.00546991
0.6744 0.0181897 0.00623316
0.6768 0.0363795 0.00619076
0.6792 0.0236466 0.00614835
0.6816 0.0291036 0.00616955
0.684 0.0236466 0.00716601
0.6864 0.0236466 0.00576673
0.6888 0.0327415 0.00640277
0.6912 0.0254656 0.00621196
0.6936 0.0291036 0.00636037
0.696 0.0218277 0.00549112
0.6984 0.0291036 0.00589394
0.7008 0.0291036 0.00614835
