#r_rel[fm]	P(r_rel)_boundstates	P(r_rel)_ges
2.136 0 0.0411728
2.1384 0 0.0398795
2.1408 0 0.0416604
2.1432 0 0.0409608
2.1456 0 0.0406639
2.148 0 0.0400915
2.1504 0 0.0416816
2.1528 0 0.0406215
2.1552 0 0.0413636
2.1576 0 0.0407911
2.16 0 0.0398159
2.1624 0 0.0394767
2.1648 0 0.0414696
2.1672 0 0.0427841
2.1696 0 0.041618
2.172 0 0.040982
2.1744 0 0.0416392
2.1768 0 0.0409183
2.1792 0 0.0428901
2.1816 0 0.0428901
2.184 0 0.0420844
2.1864 0 0.0426993
2.1888 0 0.0396039
2.1912 0 0.0439289
2.1936 0 0.0431021
2.196 0 0.0420632
2.1984 0 0.0412364
2.2008 0 0.0415332
2.2032 0 0.0420208
2.2056 0 0.0425932
2.208 0 0.0447982
2.2104 0 0.042042
2.2128 0 0.0425932
2.2152 0 0.0435897
2.2176 0 0.0411728
2.22 0 0.0424872
2.2224 0 0.0424236
2.2248 0 0.0440773
2.2272 0 0.0457734
2.2296 0 0.044565
2.232 0 0.0434837
2.2344 0 0.0426356
2.2368 0 0.042678
2.2392 0 0.0433989
2.2416 0 0.045413
2.244 0 0.0430173
2.2464 0 0.0437805
2.2488 0 0.0441409
2.2512 0 0.0438653
2.2536 0 0.0430173
2.256 0 0.0442045
2.2584 0 0.0437593
2.2608 0 0.0459006
2.2632 0 0.0437381
2.2656 0.00363795 0.0419784
2.268 0 0.0436533
2.2704 0.00181897 0.0435049
2.2728 0.00181897 0.0444378
2.2752 0.00181897 0.0444165
2.2776 0 0.0447558
2.28 0.00181897 0.0453282
2.2824 0 0.045201
2.2848 0 0.0453918
2.2872 0 0.0470031
2.2896 0 0.044777
2.292 0.00181897 0.0437169
2.2944 0 0.0449466
2.2968 0.00181897 0.0456886
2.2992 0.00363795 0.0461975
2.3016 0 0.0462399
2.304 0.00181897 0.0453706
2.3064 0 0.0459854
2.3088 0 0.0463459
2.3112 0 0.0450526
2.3136 0.00363795 0.048042
2.316 0 0.0462187
2.3184 0 0.0464731
2.3208 0 0.0453918
2.3232 0.00181897 0.0472363
2.3256 0 0.0447982
2.328 0.00181897 0.0470243
2.3304 0 0.0480844
2.3328 0.00181897 0.0465579
2.3352 0 0.0477027
2.3376 0.00363795 0.0470243
2.34 0.00363795 0.0476391
2.3424 0 0.0459006
2.3448 0 0.0459854
2.3472 0.00181897 0.0475119
2.3496 0 0.0480632
2.352 0 0.0466851
2.3544 0 0.0489324
2.3568 0 0.0492292
2.3592 0.00181897 0.048254
2.3616 0.00181897 0.0473211
2.364 0 0.0483176
2.3664 0 0.0482116
2.3688 0.00181897 0.0492292
2.3712 0.00181897 0.0483388
2.3736 0.00181897 0.0474271
2.376 0 0.0486992
2.3784 0 0.0488688
2.3808 0 0.0476815
2.3832 0 0.0465579
2.3856 0 0.0480208
2.388 0.00181897 0.0485084
2.3904 0 0.0484024
2.3928 0 0.0484872
2.3952 0 0.0496532
2.3976 0 0.0497381
2.4 0 0.0481056
2.4024 0 0.0496108
2.4048 0 0.0499289
2.4072 0 0.0488052
2.4096 0 0.0488476
2.412 0 0.0498865
2.4144 0 0.0487416
2.4168 0 0.0503105
2.4192 0 0.0491232
2.4216 0 0.049208
2.424 0 0.04836
2.4264 0 0.0491656
2.4288 0 0.0499925
2.4312 0 0.0498653
2.4336 0 0.0496745
2.436 0 0.0507133
2.4384 0 0.0501621
2.4408 0 0.0509253
2.4432 0 0.0493988
2.4456 0 0.0515402
2.448 0 0.0512433
2.4504 0 0.0508829
2.4528 0 0.049526
2.4552 0 0.0501621
2.4576 0 0.051943
2.46 0 0.0513493
2.4624 0 0.0489324
2.4648 0 0.0495048
2.4672 0 0.0516886
2.4696 0 0.0520066
2.472 0 0.0508193
2.4744 0 0.0520702
2.4768 0 0.0502893
2.4792 0 0.0500349
2.4816 0 0.0505013
2.484 0 0.0522398
2.4864 0 0.0513281
2.4888 0 0.0494836
2.4912 0 0.052473
2.4936 0 0.052261
2.496 0 0.0508617
2.4984 0 0.0531302
2.5008 0 0.0509677
2.5032 0 0.0528122
2.5056 0 0.0532787
2.508 0 0.0539359
2.5104 0 0.0516674
2.5128 0 0.0522186
2.5152 0 0.0525366
2.5176 0 0.0504589
2.52 0 0.0522822
2.5224 0 0.0535543
2.5248 0 0.0531515
2.5272 0 0.0547415
2.5296 0 0.0528546
2.532 0 0.0528758
2.5344 0 0.0526002
2.5368 0 0.0528122
2.5392 0 0.0537239
2.5416 0 0.0540843
2.544 0 0.0521762
2.5464 0 0.0529606
2.5488 0 0.0538511
2.5512 0 0.0548051
2.5536 0 0.0542115
2.556 0 0.0535331
2.5584 0 0.0535755
2.5608 0 0.0535119
2.5632 0 0.0537239
2.5656 0 0.05489
2.568 0 0.0555472
2.5704 0 0.0546991
2.5728 0 0.0552504
2.5752 0.00181897 0.0548475
2.5776 0 0.0547627
2.58 0 0.0536603
2.5824 0 0.0552928
2.5848 0 0.0543599
2.5872 0 0.0569677
2.5896 0.00181897 0.0524094
2.592 0 0.0554624
2.5944 0.00181897 0.0552292
2.5968 0 0.0565436
2.5992 0.00181897 0.0576037
2.6016 0 0.0561832
2.604 0 0.0542539
2.6064 0 0.0552928
2.6088 0 0.0563104
2.6112 0.00363795 0.0552716
2.6136 0 0.0553776
2.616 0 0.0582821
2.6184 0.00181897 0.0566709
2.6208 0 0.0568829
2.6232 0.00181897 0.056162
2.6256 0 0.0569677
2.628 0 0.056268
2.6304 0 0.0574977
2.6328 0 0.058473
2.6352 0.00181897 0.0561408
2.6376 0 0.0575189
2.64 0.00363795 0.0580065
2.6424 0 0.0565012
2.6448 0 0.0559288
2.6472 0.00181897 0.056056
2.6496 0 0.0552928
2.652 0 0.0558864
2.6544 0.00363795 0.0565012
2.6568 0 0.0590666
2.6592 0 0.0574765
2.6616 0 0.0571373
2.664 0 0.0588122
2.6664 0.00181897 0.0577521
2.6688 0.00181897 0.0578793
2.6712 0.00181897 0.0579005
2.6736 0 0.0585366
2.676 0 0.0574129
2.6784 0.00545692 0.0577733
2.6808 0 0.0546143
2.6832 0 0.0582397
2.6856 0 0.0593846
2.688 0 0.0594482
2.6904 0.00181897 0.059003
2.6928 0 0.0597662
2.6952 0 0.060063
2.6976 0 0.0587062
2.7 0.00181897 0.059109
2.7024 0 0.0581337
2.7048 0 0.0605295
2.7072 0 0.059745
2.7096 0 0.0597238
2.712 0 0.0580701
2.7144 0 0.059639
2.7168 0 0.0590666
2.7192 0 0.0596602
2.7216 0 0.0569889
2.724 0 0.0590878
2.7264 0 0.0573493
2.7288 0 0.0596178
2.7312 0 0.0592786
2.7336 0 0.0601267
2.736 0 0.0594058
2.7384 0 0.0581973
2.7408 0 0.0599994
2.7432 0 0.0603811
2.7456 0 0.0589606
2.748 0 0.0602539
2.7504 0 0.0620136
2.7528 0 0.0589394
2.7552 0 0.0592998
2.7576 0 0.0584518
2.76 0 0.059957
2.7624 0 0.0603175
2.7648 0 0.059321
2.7672 0 0.062798
2.7696 0 0.0612927
2.772 0 0.0615259
2.7744 0 0.0611867
2.7768 0 0.0614835
2.7792 0 0.0615259
2.7816 0 0.0601691
2.784 0 0.0597874
2.7864 0 0.0608899
2.7888 0 0.0625436
2.7912 0 0.0643457
2.7936 0 0.0641761
2.796 0 0.0600842
2.7984 0 0.0615683
2.8008 0 0.0615471
2.8032 0 0.0604871
2.8056 0 0.0623528
2.808 0 0.0615047
2.8104 0 0.062268
2.8128 0 0.0620984
2.8152 0 0.0638793
2.8176 0 0.0633492
2.82 0 0.063222
2.8224 0 0.0621408
2.8248 0 0.0641337
2.8272 0 0.0640701
2.8296 0 0.0633492
2.832 0 0.0627132
2.8344 0 0.0650877
2.8368 0 0.0647061
2.8392 0 0.0629464
2.8416 0 0.0613987
2.844 0 0.0631584
2.8464 0 0.062798
2.8488 0 0.0637733
2.8512 0 0.0630312
2.8536 0 0.0638157
2.856 0 0.0636037
2.8584 0 0.0641337
2.8608 0 0.0646001
2.8632 0 0.0625224
2.8656 0 0.0630312
2.868 0 0.0645365
2.8704 0 0.0641125
2.8728 0 0.0663598
2.8752 0 0.0642609
2.8776 0 0.0647909
2.88 0 0.0645365
2.8824 0 0.0658722
2.8848 0 0.0641549
2.8872 0 0.0647485
2.8896 0.00181897 0.0662114
2.892 0 0.0658086
2.8944 0 0.0642185
2.8968 0 0.0647273
2.8992 0 0.066063
2.9016 0 0.0659146
2.904 0 0.0648757
2.9064 0.00181897 0.0662538
2.9088 0 0.0659994
2.9112 0 0.0662326
2.9136 0 0.0642821
2.916 0 0.0659782
2.9184 0 0.0641761
2.9208 0 0.0644093
2.9232 0.00363795 0.0662114
2.9256 0 0.0666142
2.928 0 0.0649605
2.9304 0.00181897 0.065851
2.9328 0 0.0659146
2.9352 0 0.0663386
2.9376 0.00181897 0.0673775
2.94 0.00181897 0.0662326
2.9424 0 0.0666566
2.9448 0 0.0665294
2.9472 0.00181897 0.066487
2.9496 0 0.0656814
2.952 0 0.0672715
2.9544 0 0.0676319
2.9568 0 0.066911
2.9592 0.00181897 0.069646
2.9616 0 0.066169
2.964 0 0.0674411
2.9664 0 0.0667414
2.9688 0 0.0669746
2.9712 0 0.0651725
2.9736 0.00181897 0.0678227
2.976 0 0.0657026
2.9784 0 0.0675895
2.9808 0 0.0675895
2.9832 0.00181897 0.066805
2.9856 0 0.0662538
2.988 0 0.0669958
2.9904 0 0.0688828
2.9928 0 0.0696036
2.9952 0 0.0673987
2.9976 0 0.0687131
3 0 0.0679499
3.0024 0 0.0679711
3.0048 0 0.0688404
3.0072 0 0.0679923
3.0096 0 0.0695612
3.012 0 0.0677803
3.0144 0 0.0679287
3.0168 0 0.0700912
3.0192 0 0.0673139
3.0216 0 0.0698368
3.024 0 0.069116
3.0264 0 0.0701124
3.0288 0 0.0694552
3.0312 0 0.0686495
3.0336 0 0.06901
3.036 0 0.070282
3.0384 0 0.0689676
3.0408 0 0.0686071
3.0432 0 0.0711937
3.0456 0 0.0680983
3.048 0 0.0686707
3.0504 0 0.0694976
3.0528 0 0.0710241
3.0552 0 0.0712361
3.0576 0 0.0714269
3.06 0 0.0701972
3.0624 0 0.0711513
3.0648 0 0.0687555
3.0672 0 0.0692008
3.0696 0 0.0714057
3.072 0 0.0714269
3.0744 0 0.0710877
3.0768 0 0.0716177
3.0792 0 0.0726566
3.0816 0 0.0730382
3.084 0 0.0718085
3.0864 0 0.0716389
3.0888 0 0.0710241
3.0912 0 0.0712573
3.0936 0 0.0699428
3.096 0 0.0723598
3.0984 0 0.0739498
3.1008 0 0.069222
3.1032 0 0.0697096
3.1056 0 0.0714905
3.108 0 0.0719145
3.1104 0 0.0710029
3.1128 0 0.0713209
3.1152 0 0.0687767
3.1176 0 0.0723174
3.12 0 0.0743951
3.1224 0 0.0726778
3.1248 0 0.0733986
3.1272 0 0.0719569
3.1296 0 0.0741407
3.132 0 0.0723174
3.1344 0 0.0737378
3.1368 0 0.0730382
3.1392 0 0.0728262
3.1416 0 0.0740771
3.144 0 0.073759
3.1464 0 0.0710453
3.1488 0 0.0726778
3.1512 0 0.0726778
3.1536 0 0.0741195
3.156 0 0.0751583
3.1584 0 0.0748191
3.1608 0 0.0744375
3.1632 0 0.0764304
3.1656 0 0.0735682
3.168 0 0.0758156
3.1704 0 0.0743527
3.1728 0 0.072593
3.1752 0 0.0730382
3.1776 0 0.0745435
3.18 0 0.0758368
3.1824 0 0.075858
3.1848 0 0.0754339
3.1872 0 0.0737802
3.1896 0 0.0752007
3.192 0 0.0747555
3.1944 0 0.0732078
3.1968 0 0.0747555
3.1992 0.00181897 0.0750523
3.2016 0 0.0749887
3.204 0 0.0741831
3.2064 0 0.0750947
3.2088 0 0.076706
3.2112 0 0.0733986
3.2136 0 0.076282
3.216 0 0.0757307
3.2184 0 0.076282
3.2208 0 0.0739286
3.2232 0 0.0755399
3.2256 0 0.076706
3.228 0.00181897 0.0786565
3.2304 0 0.0763032
3.2328 0.00181897 0.0767908
3.2352 0 0.0749675
3.2376 0 0.0763244
3.24 0 0.0768756
3.2424 0.00181897 0.0754339
3.2448 0 0.0760064
3.2472 0 0.0783385
3.2496 0 0.0771088
3.252 0 0.0772996
3.2544 0.00181897 0.076176
3.2568 0 0.077342
3.2592 0 0.0764092
3.2616 0.00181897 0.0788473
3.264 0 0.0759852
3.2664 0 0.0786989
3.2688 0.00181897 0.0780629
3.2712 0 0.0789321
3.2736 0 0.0779781
3.276 0.00181897 0.0778933
3.2784 0 0.0766636
3.2808 0 0.0781477
3.2832 0 0.0743103
3.2856 0.00363795 0.0789321
3.288 0.00181897 0.0783173
3.2904 0.00181897 0.0778509
3.2928 0.00181897 0.0788261
3.2952 0 0.0793774
3.2976 0 0.0759852
3.3 0 0.0785505
3.3024 0 0.0798862
3.3048 0 0.0784233
3.3072 0 0.0781053
3.3096 0 0.0790169
3.312 0 0.0780417
3.3144 0 0.0784021
3.3168 0 0.0762608
3.3192 0 0.079971
3.3216 0 0.0789957
3.324 0 0.0789321
3.3264 0 0.0805646
3.3288 0 0.079653
3.3312 0 0.0787837
3.3336 0 0.0798014
3.336 0 0.0798862
3.3384 0 0.0771936
3.3408 0 0.0818579
3.3432 0 0.0800346
3.3456 0 0.079971
3.348 0 0.0809462
3.3504 0 0.0804374
3.3528 0 0.080289
3.3552 0 0.0796318
3.3576 0 0.0783173
3.36 0 0.0810523
3.3624 0 0.0802254
3.3648 0 0.0791229
3.3672 0 0.0823031
3.3696 0 0.0790593
3.372 0 0.0811159
3.3744 0 0.0820063
3.3768 0 0.0809886
3.3792 0 0.0811583
3.3816 0 0.0788049
3.384 0 0.080607
3.3864 0 0.0819003
3.3888 0 0.0830876
3.3912 0 0.0825575
3.3936 0 0.0799286
3.396 0 0.0828968
3.3984 0 0.0804586
3.4008 0 0.0815399
3.4032 0 0.0820487
3.4056 0 0.0806282
3.408 0 0.0807342
3.4104 0 0.0806282
3.4128 0 0.0823879
3.4152 0 0.083448
3.4176 0 0.083342
3.42 0 0.0817731
3.4224 0 0.0819215
3.4248 0 0.0841264
3.4272 0 0.0812855
3.4296 0 0.0805222
3.432 0 0.0807554
3.4344 0 0.0834056
3.4368 0 0.0806706
3.4392 0 0.0823031
3.4416 0 0.0819851
3.444 0 0.0825363
3.4464 0 0.080607
3.4488 0 0.0822183
3.4512 0 0.0835328
3.4536 0 0.0827271
3.456 0 0.0836388
3.4584 0 0.0837872
3.4608 0 0.0829816
3.4632 0 0.0817731
3.4656 0 0.0842112
3.468 0 0.0851017
3.4704 0 0.0814551
3.4728 0 0.0855681
3.4752 0 0.0827059
3.4776 0 0.0834268
3.48 0 0.0835752
3.4824 0 0.0851441
3.4848 0 0.0818155
3.4872 0 0.0826847
3.4896 0 0.0841264
3.492 0 0.0864374
3.4944 0 0.0848473
3.4968 0 0.0866494
3.4992 0 0.0856529
3.5016 0.00181897 0.0830664
3.504 0 0.0841264
3.5064 0 0.0855469
3.5088 0 0.0851441
3.5112 0 0.0851017
3.5136 0 0.0861829
3.516 0.00181897 0.084296
3.5184 0 0.0856317
3.5208 0 0.0841052
3.5232 0 0.0860981
3.5256 0 0.0859497
3.528 0.00181897 0.0852713
3.5304 0 0.0827696
3.5328 0 0.0842112
3.5352 0 0.0846777
3.5376 0 0.0864798
3.54 0 0.0873702
3.5424 0 0.0887271
3.5448 0.00181897 0.0876458
3.5472 0 0.0876246
3.5496 0.00181897 0.0881971
3.552 0 0.0858649
3.5544 0.00181897 0.0876882
3.5568 0 0.0875186
3.5592 0 0.0878578
3.5616 0 0.0853985
3.564 0 0.0872006
3.5664 0 0.0866918
3.5688 0 0.086925
3.5712 0 0.0885151
3.5736 0 0.0878578
3.576 0 0.0841264
3.5784 0 0.0870946
3.5808 0.00181897 0.0859497
3.5832 0.00181897 0.0877094
3.5856 0 0.0873914
3.588 0 0.0882607
3.5904 0 0.0858225
3.5928 0 0.0874126
3.5952 0 0.086501
3.5976 0.00181897 0.0887907
3.6 0 0.087031
3.6024 0 0.0883667
3.6048 0 0.0895963
3.6072 0 0.0875186
3.6096 0 0.0883879
3.612 0 0.0867342
3.6144 0 0.087137
3.6168 0 0.0904444
3.6192 0 0.090296
3.6216 0 0.0902324
3.624 0 0.0876246
3.6264 0 0.0892783
3.6288 0 0.0865222
3.6312 0 0.0863314
3.6336 0 0.0899568
3.636 0 0.0891087
3.6384 0 0.0877306
3.6408 0 0.0907836
3.6432 0 0.0904444
3.6456 0 0.0893207
3.648 0 0.0897235
3.6504 0 0.0900204
3.6528 0 0.0909108
3.6552 0 0.0891935
3.6576 0 0.0923313
3.66 0 0.087349
3.6624 0 0.0901688
3.6648 0 0.0904656
3.6672 0 0.0881971
3.6696 0 0.0870734
3.672 0 0.0887483
3.6744 0 0.0883879
3.6768 0 0.0893843
3.6792 0 0.0936882
3.6816 0 0.0900628
3.684 0 0.0892995
3.6864 0 0.0898932
3.6888 0 0.0895751
3.6912 0 0.0918649
3.6936 0 0.0874762
3.696 0 0.0928189
3.6984 0 0.0894903
3.7008 0 0.087879
3.7032 0 0.0937306
3.7056 0 0.0896811
3.708 0 0.0917589
3.7104 0 0.0917377
3.7128 0 0.0932218
3.7152 0 0.0903172
3.7176 0 0.0907624
3.72 0 0.0917165
3.7224 0 0.0913984
3.7248 0 0.0928189
3.7272 0 0.0919709
3.7296 0 0.0899356
3.732 0 0.0926917
3.7344 0 0.0917165
3.7368 0 0.0900628
3.7392 0 0.0942818
3.7416 0 0.0940698
3.744 0 0.0947906
3.7464 0 0.0915257
3.7488 0 0.0940698
3.7512 0 0.0952359
3.7536 0 0.0923101
3.756 0 0.093561
3.7584 0 0.0939214
3.7608 0 0.0923101
3.7632 0 0.0933914
3.7656 0 0.0939638
3.768 0 0.0931793
3.7704 0 0.0931581
3.7728 0 0.0931369
3.7752 0 0.093561
3.7776 0 0.0933278
3.78 0 0.0945574
3.7824 0 0.0929249
3.7848 0 0.0946422
3.7872 0 0.0938154
3.7896 0 0.093985
3.792 0 0.0945362
3.7944 0 0.0955115
3.7968 0 0.0954479
3.7992 0 0.0966988
3.8016 0 0.0933278
3.804 0 0.090508
3.8064 0 0.0939214
3.8088 0 0.0955751
3.8112 0 0.0951723
3.8136 0 0.0945574
3.816 0 0.0947694
3.8184 0 0.0951511
3.8208 0 0.0927977
3.8232 0 0.0944514
3.8256 0.00181897 0.093349
3.828 0 0.0966351
3.8304 0 0.0955751
3.8328 0 0.0976952
3.8352 0 0.0920981
3.8376 0.00181897 0.0955963
3.84 0 0.0951087
3.8424 0 0.0931793
3.8448 0 0.0987765
3.8472 0 0.094939
3.8496 0 0.0978224
3.852 0.00181897 0.0974196
3.8544 0 0.0953207
3.8568 0.00181897 0.0959991
3.8592 0 0.0952147
3.8616 0 0.0968896
3.864 0 0.100218
3.8664 0 0.0969108
3.8688 0.00181897 0.0970804
3.8712 0 0.097038
3.8736 0 0.0982676
3.876 0 0.0966139
3.8784 0.00181897 0.0979708
3.8808 0 0.0976528
3.8832 0.00181897 0.0958507
3.8856 0 0.0961475
3.888 0 0.0970168
3.8904 0 0.0995821
3.8928 0 0.0953419
3.8952 0 0.097674
3.8976 0 0.0979496
3.9 0.00181897 0.0956811
3.9024 0.00181897 0.097992
3.9048 0 0.0989037
3.9072 0 0.0966563
3.9096 0 0.09725
3.912 0 0.0968472
3.9144 0.00181897 0.0958507
3.9168 0 0.0993277
3.9192 0 0.0959143
3.9216 0 0.0958931
3.924 0 0.0959355
3.9264 0 0.100473
3.9288 0 0.0962111
3.9312 0 0.0990097
3.9336 0 0.0986281
3.936 0 0.0994337
3.9384 0 0.0991793
3.9408 0 0.0961687
3.9432 0 0.100176
3.9456 0 0.101851
3.948 0 0.102402
3.9504 0 0.0994125
3.9528 0 0.100642
3.9552 0 0.0964867
3.9576 0 0.100303
3.96 0 0.0960627
3.9624 0 0.0989249
3.9648 0 0.0987765
3.9672 0 0.0975468
3.9696 0 0.0975256
3.972 0 0.100685
3.9744 0 0.0985009
3.9768 0 0.100685
3.9792 0 0.0999213
3.9816 0 0.0979284
3.984 0 0.0995821
3.9864 0 0.0990945
3.9888 0 0.0985221
3.9912 0 0.0994761
3.9936 0 0.0990521
3.996 0 0.0980768
3.9984 0 0.100176
4.0008 0 0.09831
4.0032 0 0.0997941
4.0056 0 0.100388
4.008 0 0.100621
4.0104 0 0.102381
4.0128 0 0.100875
4.0152 0 0.100324
4.0176 0 0.0987977
4.02 0 0.100981
4.0224 0 0.102635
4.0248 0 0.0994973
4.0272 0 0.100218
4.0296 0 0.100324
4.032 0 0.100049
4.0344 0 0.0995185
4.0368 0 0.101427
4.0392 0 0.100918
4.0416 0 0.100176
4.044 0 0.0988189
4.0464 0 0.0995397
4.0488 0 0.101596
4.0512 0 0.0996457
4.0536 0 0.101639
4.056 0 0.102932
4.0584 0 0.101829
4.0608 0 0.104183
4.0632 0 0.102953
4.0656 0 0.0999001
4.068 0 0.100536
4.0704 0 0.102699
4.0728 0 0.102317
4.0752 0 0.104501
4.0776 0 0.102932
4.08 0 0.102359
4.0824 0 0.100451
4.0848 0 0.101829
4.0872 0 0.101363
4.0896 0 0.104034
4.092 0 0.104225
4.0944 0 0.10166
4.0968 0 0.101087
4.0992 0 0.101215
4.1016 0 0.102529
4.104 0 0.0999849
4.1064 0 0.103398
4.1088 0 0.100833
4.1112 0 0.102614
4.1136 0 0.10342
4.116 0 0.102826
4.1184 0 0.104204
4.1208 0 0.100557
4.1232 0 0.101723
4.1256 0 0.103547
4.128 0 0.104946
4.1304 0 0.107384
4.1328 0.00181897 0.101787
4.1352 0 0.101151
4.1376 0 0.103398
4.14 0 0.105921
4.1424 0 0.104543
4.1448 0 0.10484
4.1472 0 0.104268
4.1496 0 0.104713
4.152 0 0.105412
4.1544 0 0.103165
4.1568 0 0.105603
4.1592 0 0.103716
4.1616 0 0.105222
4.164 0 0.106133
4.1664 0 0.104416
4.1688 0 0.106769
4.1712 0 0.102063
4.1736 0.00181897 0.10395
4.176 0 0.104692
4.1784 0 0.106324
4.1808 0.00181897 0.10484
4.1832 0 0.106854
4.1856 0 0.105476
4.188 0 0.106812
4.1904 0 0.106048
4.1928 0 0.105434
4.1952 0 0.10626
4.1976 0.00181897 0.106006
4.2 0 0.103208
4.2024 0 0.106685
4.2048 0 0.107427
4.2072 0.00363795 0.106473
4.2096 0 0.102529
4.212 0 0.105264
4.2144 0 0.103377
4.2168 0 0.106812
4.2192 0 0.108656
4.2216 0 0.106451
4.224 0 0.107914
4.2264 0.00181897 0.105285
4.2288 0.00181897 0.107469
4.2312 0 0.108614
4.2336 0 0.105773
4.236 0 0.104628
4.2384 0 0.107024
4.2408 0 0.107766
4.2432 0 0.104013
4.2456 0 0.106515
4.248 0 0.107321
4.2504 0 0.108359
4.2528 0 0.105985
4.2552 0 0.105582
4.2576 0 0.105116
4.26 0 0.107766
4.2624 0 0.104861
4.2648 0 0.104925
4.2672 0 0.107681
4.2696 0 0.107639
4.272 0 0.109907
4.2744 0 0.107045
4.2768 0 0.109186
4.2792 0 0.108508
4.2816 0 0.105518
4.284 0 0.111942
4.2864 0 0.108211
4.2888 0 0.107448
4.2912 0 0.108826
4.2936 0 0.106494
4.296 0 0.10749
4.2984 0 0.108826
4.3008 0 0.10713
4.3032 0 0.111094
4.3056 0 0.109695
4.308 0 0.107935
4.3104 0 0.10713
4.3128 0 0.108296
4.3152 0 0.108041
4.3176 0 0.107533
4.32 0 0.10978
4.3224 0 0.110034
4.3248 0 0.105349
4.3272 0 0.108889
4.3296 0 0.109059
4.332 0 0.110204
4.3344 0 0.106282
4.3368 0 0.111073
4.3392 0 0.107045
4.3416 0 0.108783
4.344 0 0.110056
4.3464 0 0.109144
4.3488 0 0.109462
4.3512 0 0.10573
4.3536 0 0.110331
4.356 0 0.11014
4.3584 0 0.10995
4.3608 0 0.11101
4.3632 0 0.109589
4.3656 0 0.111158
4.368 0 0.111285
4.3704 0 0.110331
4.3728 0 0.110988
4.3752 0 0.110713
4.3776 0 0.110056
4.38 0 0.110967
4.3824 0 0.111094
4.3848 0 0.1112
4.3872 0 0.111879
4.3896 0 0.10872
4.392 0 0.110183
4.3944 0 0.108487
4.3968 0 0.113469
4.3992 0 0.109525
4.4016 0 0.111094
4.404 0 0.112324
4.4064 0 0.112112
4.4088 0 0.111561
4.4112 0 0.107702
4.4136 0 0.112345
4.416 0 0.113872
4.4184 0 0.111052
4.4208 0 0.112642
4.4232 0 0.110628
4.4256 0 0.10995
4.428 0 0.113427
4.4304 0 0.113236
4.4328 0 0.11101
4.4352 0 0.112366
4.4376 0 0.11296
4.44 0.00181897 0.112918
4.4424 0 0.111285
4.4448 0 0.112642
4.4472 0 0.112218
4.4496 0 0.112451
4.452 0 0.111985
4.4544 0 0.111603
4.4568 0 0.113427
4.4592 0 0.111624
4.4616 0 0.111646
4.464 0 0.111412
4.4664 0 0.113151
4.4688 0 0.112663
4.4712 0.00181897 0.112218
4.4736 0 0.111222
4.476 0.00181897 0.115907
4.4784 0 0.112409
4.4808 0 0.110798
4.4832 0 0.111985
4.4856 0 0.114805
4.488 0 0.113151
4.4904 0.00181897 0.1112
4.4928 0 0.114847
4.4952 0.00181897 0.110352
4.4976 0 0.116034
4.5 0.00181897 0.114868
4.5024 0 0.112176
4.5048 0.00181897 0.115207
4.5072 0 0.116204
4.5096 0 0.114826
4.512 0 0.113914
4.5144 0 0.112875
4.5168 0 0.114868
4.5192 0 0.114232
4.5216 0 0.114635
4.524 0 0.11667
4.5264 0 0.114656
4.5288 0 0.114084
4.5312 0 0.115525
4.5336 0 0.113681
4.536 0 0.114487
4.5384 0 0.115568
4.5408 0 0.115547
4.5432 0.00181897 0.115547
4.5456 0 0.111328
4.548 0 0.116352
4.5504 0 0.115441
4.5528 0 0.116352
4.5552 0.00181897 0.11472
4.5576 0 0.116013
4.56 0.00181897 0.115144
4.5624 0 0.113957
4.5648 0 0.117667
4.5672 0 0.115695
4.5696 0 0.114063
4.572 0 0.115525
4.5744 0 0.118027
4.5768 0 0.119236
4.5792 0 0.11561
4.5816 0 0.117116
4.584 0 0.114614
4.5864 0 0.115907
4.5888 0 0.114529
4.5912 0 0.116395
4.5936 0 0.114423
4.596 0 0.116183
4.5984 0 0.117116
4.6008 0 0.115737
4.6032 0 0.117179
4.6056 0 0.112176
4.608 0 0.115525
4.6104 0 0.112366
4.6128 0 0.115674
4.6152 0 0.113702
4.6176 0 0.116119
4.62 0 0.1179
4.6224 0 0.114402
4.6248 0 0.115038
4.6272 0 0.116734
4.6296 0 0.117137
4.632 0 0.119257
4.6344 0 0.116564
4.6368 0 0.115801
4.6392 0 0.118896
4.6416 0 0.1172
4.644 0 0.118239
4.6464 0 0.115462
4.6488 0 0.116713
4.6512 0 0.118981
4.6536 0 0.116988
4.656 0 0.119744
4.6584 0 0.119532
4.6608 0 0.116479
4.6632 0 0.120805
4.6656 0 0.119935
4.668 0 0.11701
4.6704 0 0.114868
4.6728 0 0.119575
4.6752 0 0.117285
4.6776 0 0.119766
4.68 0 0.120338
4.6824 0 0.116628
4.6848 0 0.116904
4.6872 0 0.116691
4.6896 0 0.118896
4.692 0 0.119554
4.6944 0 0.115059
4.6968 0 0.121907
4.6992 0 0.118939
4.7016 0 0.118621
4.704 0 0.121038
4.7064 0 0.117264
4.7088 0 0.120126
4.7112 0 0.118578
4.7136 0 0.119638
4.716 0 0.116585
4.7184 0 0.120465
4.7208 0 0.116055
4.7232 0 0.11985
4.7256 0 0.117158
4.728 0 0.119829
4.7304 0 0.119744
4.7328 0 0.118663
4.7352 0 0.118494
4.7376 0 0.1186
4.74 0 0.119978
4.7424 0 0.119045
4.7448 0 0.118706
4.7472 0.00181897 0.121101
4.7496 0 0.121865
4.752 0 0.121123
