# E_rel [GeV] (sim)	dN/dE_rel (sim)	# E_rel [GeV] (analytical)	dN/dE_rel (analytical, has to be normalised)
1.3600000000000019	0.004757931345833331	0.6000000000000001	72321.63587543591
1.400000000000002	0.0038672859625000027	625	63135.139576910915
1.440000000000002	0.0030417408187500034	0.6499999999999999	55071.45571420146
1.480000000000002	0.0023919881729166643	0.6750000000000003	48002.151561082224
1.520000000000002	0.0018776524999999983	0.7000000000000002	41811.61604098423
1.560000000000002	0.001576864899999997	0.7250000000000001	36396.21417575392
1.600000000000002	0.0012200824604166637	0.75	31663.378976857304
1.6400000000000021	0.0010104406479166633	0.7749999999999999	27530.685614083668
1.6800000000000022	0.0007513191354166642	0.8000000000000003	23924.938812539374
1.7200000000000022	0.0006250159979166652	0.8250000000000002	20781.29419122975
1.7600000000000022	0.00048568824999999956	0.8500000000000001	18042.426770806906
1.8000000000000023	0.0004323030104166665	875	15657.75441775796
1.8400000000000023	0.000319018560416667	0.9000000000000004	13582.720066967664
1.8800000000000023	0.0002682365333333336	0.9250000000000003	11778.133777400813
1.9200000000000024	0.0001835986916666668	0.9500000000000002	10209.573739135649
1.9600000000000024	0.00016146224791666668	0.9750000000000001	8846.84404508468
		1.	7663.48620236348
		1.0250000000000004	6636.34086177376
		1.0500000000000003	5745.155992977381
		1.0750000000000002	4972.237677235882
		1.1	4302.139692654252
		1.125	3721.3882868324017
		1.1500000000000004	3218.23863640755
		1.1750000000000003	2782.4597691857007
		1.2000000000000002	2405.144946380197
		1.225	2078.5447504466892
		1.25	1795.9203665913374
		1.2750000000000004	1551.4147804032727
		1.3000000000000003	1339.9398366222185
		1.3250000000000002	1157.077312605435
		1.35	998.9923534448418
		1.375	862.3577934970665
		1.4000000000000004	744.2880513818966
		1.4250000000000003	642.2814329987661
		1.4500000000000002	554.1698099528429
		1.475	478.07476071953863
		1.5	412.36936896652617
		1.5250000000000004	355.64496928809825
		1.5500000000000003	306.6822159044142
		1.5750000000000002	264.4259256610909
		1.6	227.963213837239
		1.625	196.5045006911357
		1.6500000000000004	169.3670191417812
		1.6750000000000003	145.96050023903658
		1.7000000000000002	125.77475379037489
		1.725	108.36889730312278
		1.75	93.36201782395256
		1.7750000000000004	80.42507881389322
		1.8000000000000003	69.27390836815047
		1.8250000000000002	59.663125998486734
		1.85	51.38088434044024
		1.875	44.24431714358801
		1.9000000000000004	38.0956001632798
		1.9250000000000003	32.7985431439638
		1.9500000000000002	28.23564204483642
		1.975	24.305529957265026
		2.	20.92077329100829
