# E_rel [GeV] (sim)	dN/dE_rel (sim)	# E_rel [GeV] (analytical)	dN/dE_rel (analytical, has to be normalised)
-2	0.0	-1.5	0.
-1.96	0.0	-1.475	0.
-1.92	0.0	-1.45	0.
-1.88	0.0	-1.425	0.
-1.8399999999999999	0.0	-1.4	266.983801476325
-1.7999999999999998	0.0	-1.375	727.866002991966
-1.7599999999999998	0.0	-1.35	1299.0931292072817
-1.7199999999999998	0.0	-1.325	1909.9227344237402
-1.6799999999999997	0.0	-1.3	2511.303616297291
-1.6399999999999997	0.0	-1.275	3070.6234984385856
-1.5999999999999996	0.0	-1.25	3567.7386085420776
-1.5599999999999996	0.0	-1.225	3991.2875977427375
-1.5199999999999996	0.0	-1.2	4336.928806256563
-1.4799999999999995	0.0	-1.175	4604.772962692454
-1.4399999999999995	0.00030990394375000023	-1.15	4798.166615022145
-1.3999999999999995	0.0024753231416666686	-1.125	4922.530291940872
-1.3599999999999994	0.006114737937499998	-1.1	4984.523296442789
-1.3199999999999994	0.010021087499999987	-1.075	4991.388061242398
-1.2799999999999994	0.013588881124999988	-1.05	4950.569987808242
-1.2399999999999993	0.016613702124999997	-1.025	4869.342055685248
-1.1999999999999993	0.018516087374999986	-1.	4754.607116265735
-1.1599999999999993	0.020082533958333332	-975	4612.781068795381
-1.1199999999999992	0.02053957741666667	-0.95	4449.693373631266
-1.0799999999999992	0.020512233749999994	-0.9249999999999999	4270.568194767207
-1.0399999999999991	0.019975756916666667	-0.8999999999999999	4080.0026341758785
-0.9999999999999991	0.019510911041666683	-875	3881.995217636648
-0.9599999999999991	0.018374153187500006	-0.85	3679.987368723307
-0.919999999999999	0.01729991614583334	-825	3476.8720321274977
-0.879999999999999	0.01606681577083334	-0.7999999999999999	3275.0642582457917
-0.839999999999999	0.014789433416666662	-0.7749999999999999	3076.5539070712553
-0.7999999999999989	0.013387069791666654	-0.75	2882.933467450704
-0.7599999999999989	0.012229476937499996	-725	2695.45575751231
-0.7199999999999989	0.010936480541666647	-0.7	2514.8249986594624
-0.6799999999999988	0.009798432854166667	-0.6749999999999999	2342.487738649279
-0.6399999999999988	0.008709859458333328	-0.6499999999999999	2178.1796683800885
-0.5999999999999988	0.007721552958333317	-625	2022.4534564016774
-0.5599999999999987	0.006735849312499989	-0.6	1875.4367793605277
-0.5199999999999987	0.006090001270833329	-575	1737.1635108394325
-0.4799999999999987	0.005346485970833331	-0.5499999999999999	1607.5411850497069
-0.4399999999999987	0.00477095460416666	-0.5249999999999999	1486.4099766424572
-0.39999999999999875	0.004225368089583332	-0.5	1373.5412066182514
-0.35999999999999877	0.0037188436645833383	-0.47499999999999987	1268.6611308580066
-0.3199999999999988	0.0032136257937500023	-0.44999999999999996	1171.4676337429314
-0.2799999999999988	0.0029597081625000045	-0.42500000000000004	1081.632278312178
-0.2399999999999988	0.002653712941666668	-0.3999999999999999	998.8267343079478
-0.1999999999999988	0.0022513586437499992	-375	922.7187451306282
-0.15999999999999878	0.002280004987499999	-0.34999999999999987	852.9902246864964
-0.11999999999999877	0.0029297623020833343	-0.32499999999999996	789.34592366627
-0.07999999999999877	0.004015726727083339	-0.2999999999999998	731.5299763932253
